symbol,year,start_price,end_price,annual_return
AAPL,2013,67.8542,80.1456,18.114427699390745
AAPL,2014,79.0185,110.38,39.688807051513244
AAPL,2015,109.33,105.26,-3.72267447178267
AAPL,2016,105.35,115.82,9.938300901756051
AAPL,2017,116.15,169.23,45.69952647438655
AAPL,2018,172.26,159.54,-7.384186694531522
AMZN,2013,261.95,398.79,52.23897690398932
AMZN,2014,397.97,310.35,-22.016734929768575
AMZN,2015,308.52,675.89,119.07493841566188
AMZN,2016,636.99,749.87,17.720843341339737
AMZN,2017,753.67,1169.47,55.17003463054123
AMZN,2018,1189.01,1416.78,19.156272865661347
GOOGL,2013,393.0777,560.9154,42.69835200521423
GOOGL,2014,557.1166,530.66,-4.748844317329619
GOOGL,2015,529.55,778.01,46.91908223963744
GOOGL,2016,759.44,792.45,4.34662382808385
GOOGL,2017,808.01,1053.4,30.36967364265295
GOOGL,2018,1073.21,1055.41,-1.6585756748446208
MSFT,2013,27.55,37.41,35.78947368421051
MSFT,2014,37.16,46.45,25.000000000000018
MSFT,2015,46.76,55.48,18.64841745081266
MSFT,2016,54.8,62.14,13.394160583941614
MSFT,2017,62.58,85.54,36.689038031319924
MSFT,2018,85.95,89.61,4.258289703315877
ORCL,2013,34.9,38.26,9.62750716332378
ORCL,2014,37.84,44.97,18.842494714587723
ORCL,2015,44.33,36.53,-17.595307917888558
ORCL,2016,35.75,38.45,7.5524475524475605
ORCL,2017,38.55,47.28,22.64591439688717
ORCL,2018,46.63,48.87,4.803774394166834
